Question,Answer
What is the capital of France?,Paris
Who wrote 'Romeo and Juliet'?,William Shakespeare
What is the chemical symbol for gold?,Au
In which year did World War II end?,1945
What is the tallest mountain in the world?,Mount Everest
Which planet is known as the Red Planet?,Mars
What is the largest ocean on Earth?,Pacific Ocean
Who is known as the 'Father of Modern Physics'?,Albert Einstein
What is the currency of Japan?,Japanese Yen
Which element has the chemical symbol 'O'?,Oxygen
Who painted the Mona Lisa?,Leonardo da Vinci
In which year did the Titanic sink?,1912
What is the capital of Japan?,Tokyo
Which is the smallest prime number?,2
What is the speed of light in a vacuum?,"299,792 kilometers per second"
Who wrote 'To Kill a Mockingbird'?,Harper Lee
What is the capital of Australia?,Canberra
Which gas makes up the majority of Earth's atmosphere?,Nitrogen
What is the currency of India?,Indian Rupee
Who developed the theory of relativity?,Albert Einstein
What is the largest mammal in the world?,Blue Whale
In which year did the United States declare its independence?,1776
What is the main ingredient in guacamole?,Avocado
Who wrote '1984'?,George Orwell
Which planet is known as the 'Morning Star'?,Venus
What is the capital of China?,Beijing
What is the largest desert in the world?,Antarctica
Who was the first President of the United States?,George Washington
What is the largest planet in our solar system?,Jupiter
Which is the smallest country in the world?,Vatican City
In which year did Christopher Columbus reach the Americas?,1492
What is the square root of 25?,5
Who painted the Starry Night?,Vincent van Gogh
What is the currency of the United Kingdom?,British Pound
What is the speed of sound in air?,343 meters per second
Who discovered penicillin?,Alexander Fleming
What is the largest city in the world by population?,Tokyo
Which two gases make up water?,Hydrogen and Oxygen
Who wrote 'Pride and Prejudice'?,Jane Austen
What is the smallest prime number greater than 10?,11
What is the capital of South Africa?,Pretoria
Who was the first woman to win a Nobel Prize?,Marie Curie
What is the currency of Brazil?,Brazilian Real
